ISO,Fungicides and Bactericides EcoToxicity freshwater,Insecticides Eco Toxicity freshwater,Herbicides Eco Toxicity freshwater,Rodenticides Eco Toxicity freshwater,P Fertiliser (P emissions to water) Eco Toxicity freshwater
AFG,14117.79049,15087.33128,676.3924012,61.62178546,7.15018E-16
AGO,6157.016929,11091.16197,300.9365992,24.75593366,1.16215E-14
ALB,5766.31111,6322.837147,290.2756207,24.53881482,9.46546E-17
AND,5766.31111,6322.837147,290.2756207,24.53881482,9.75085E-17
ARE,8597.098772,8590.333813,436.2676939,37.03439047,0
ARG,47220.67066,50740.91104,2365.825063,226.903574,1.52599E-14
ARM,8597.098772,8590.333813,436.2676939,37.03439047,5.82723E-14
ATG,20227.91497,24527.5843,1001.642375,88.78916962,5.91522E-15
AUS,2501.492511,1539.608412,142.4944758,12.77038446,6.82035E-16
AUT,5766.31111,6322.837147,290.2756207,24.53881482,1.2695E-14
AZE,8597.098772,8590.333813,436.2676939,37.03439047,5.5396E-15
BDI,18403.23843,33003.44487,899.2325478,74.15144088,9.29029E-15
BEL,5766.31111,6322.837147,290.2756207,24.53881482,1.65022E-14
BEN,6157.016929,11091.16197,300.9365992,24.75593366,1.79807E-14
BFA,6157.016929,11091.16197,300.9365992,24.75593366,4.00834E-16
BGD,14117.79049,15087.33128,676.3924012,61.62178546,2.4974E-15
BGR,5766.31111,6322.837147,290.2756207,24.53881482,2.54927E-15
BHR,8597.098772,8590.333813,436.2676939,37.03439047,6.75286E-16
BHS,20227.91497,24527.5843,1001.642375,88.78916962,3.97214E-15
BIH,5766.31111,6322.837147,290.2756207,24.53881482,8.5093E-16
BLR,5766.31111,6322.837147,290.2756207,24.53881482,3.23663E-15
BLZ,20227.91497,24527.5843,1001.642375,88.78916962,8.92065E-15
BOL,47220.67066,50740.91104,2365.825063,226.903574,1.60424E-16
BRA,47220.67066,50740.91104,2365.825063,226.903574,7.09744E-15
BRB,20227.91497,24527.5843,1001.642375,88.78916962,4.88485E-16
BRN,32152.00794,31852.57793,1617.485013,141.505064,1.1162E-14
BTN,14117.79049,15087.33128,676.3924012,61.62178546,2.78843E-16
BWA,9914.499828,17629.03383,484.3890755,40.14601417,0
CAF,6157.016929,11091.16197,300.9365992,24.75593366,1.78723E-16
CAN,7148.357383,8864.342775,354.2392518,29.89116104,9.11063E-15
CHE,5766.31111,6322.837147,290.2756207,24.53881482,0
CHL,47220.67066,50740.91104,2365.825063,226.903574,1.31927E-14
CHN,14117.79049,15087.33128,676.3924012,61.62178546,3.12201E-14
CIV,6157.016929,11091.16197,300.9365992,24.75593366,0
CMR,6157.016929,11091.16197,300.9365992,24.75593366,5.55526E-15
COD,6157.016929,11091.16197,300.9365992,24.75593366,7.82663E-15
COG,6157.016929,11091.16197,300.9365992,24.75593366,1.98728E-14
COL,47220.67066,50740.91104,2365.825063,226.903574,7.52841E-15
CPV,6157.016929,11091.16197,300.9365992,24.75593366,7.85232E-16
CRI,20227.91497,24527.5843,1001.642375,88.78916962,7.62987E-15
CUB,7148.357383,8864.342775,354.2392518,29.89116104,5.09426E-16
CYP,8597.098772,8590.333813,436.2676939,37.03439047,7.89973E-15
CZE,5766.31111,6322.837147,290.2756207,24.53881482,5.19532E-16
DEU,5766.31111,6322.837147,290.2756207,24.53881482,1.9381E-16
DJI,18403.23843,33003.44487,899.2325478,74.15144088,0
DNK,2866.678353,3274.10327,142.790184,11.90268843,3.99897E-16
DOM,20227.91497,24527.5843,1001.642375,88.78916962,8.17229E-16
DZA,18403.23843,33003.44487,899.2325478,74.15144088,3.18639E-15
ECU,47220.67066,50740.91104,2365.825063,226.903574,0
EGY,18403.23843,33003.44487,899.2325478,74.15144088,0
ERI,18403.23843,33003.44487,899.2325478,74.15144088,2.70586E-15
ESP,5766.31111,6322.837147,290.2756207,24.53881482,0
EST,2866.678353,3274.10327,142.790184,11.90268843,5.21872E-16
ETH,18403.23843,33003.44487,899.2325478,74.15144088,5.17243E-16
FIN,2866.678353,3274.10327,142.790184,11.90268843,0
FJI,3186.371211,2374.090932,173.0181115,20.18889117,1.38578E-14
FRA,5766.31111,6322.837147,290.2756207,24.53881482,4.17931E-16
GAB,6157.016929,11091.16197,300.9365992,24.75593366,6.13572E-15
GBR,2866.678353,3274.10327,142.790184,11.90268843,0
GEO,8597.098772,8590.333813,436.2676939,37.03439047,9.71493E-17
GHA,6157.016929,11091.16197,300.9365992,24.75593366,9.91517E-17
GIN,6157.016929,11091.16197,300.9365992,24.75593366,1.06227E-14
GMB,6157.016929,11091.16197,300.9365992,24.75593366,6.52689E-17
GRC,5766.31111,6322.837147,290.2756207,24.53881482,1.54298E-15
GTM,20227.91497,24527.5843,1001.642375,88.78916962,4.9232E-14
GUY,47220.67066,50740.91104,2365.825063,226.903574,1.70858E-14
HND,20227.91497,24527.5843,1001.642375,88.78916962,1.90786E-14
HRV,5766.31111,6322.837147,290.2756207,24.53881482,6.18216E-16
HTI,20227.91497,24527.5843,1001.642375,88.78916962,0
HUN,5766.31111,6322.837147,290.2756207,24.53881482,7.26106E-16
IDN,32152.00794,31852.57793,1617.485013,141.505064,0
IND,14117.79049,15087.33128,676.3924012,61.62178546,8.08408E-15
IRL,2866.678353,3274.10327,142.790184,11.90268843,1.71154E-16
IRN,14117.79049,15087.33128,676.3924012,61.62178546,8.76752E-15
IRQ,8597.098772,8590.333813,436.2676939,37.03439047,9.42725E-17
ISL,2866.678353,3274.10327,142.790184,11.90268843,1.13739E-15
ISR,8597.098772,8590.333813,436.2676939,37.03439047,4.36717E-15
ITA,5766.31111,6322.837147,290.2756207,24.53881482,1.19327E-15
JAM,7148.357383,8864.342775,354.2392518,29.89116104,3.13357E-15
JOR,8597.098772,8590.333813,436.2676939,37.03439047,1.0794E-15
JPN,14117.79049,15087.33128,676.3924012,61.62178546,1.54406E-15
KAZ,8597.098772,8590.333813,436.2676939,37.03439047,4.3308E-17
KEN,18403.23843,33003.44487,899.2325478,74.15144088,9.63947E-15
KGZ,8597.098772,8590.333813,436.2676939,37.03439047,6.43329E-15
KHM,32152.00794,31852.57793,1617.485013,141.505064,3.13782E-16
KOR,14117.79049,15087.33128,676.3924012,61.62178546,2.25062E-15
KWT,8597.098772,8590.333813,436.2676939,37.03439047,7.61519E-15
LAO,32152.00794,31852.57793,1617.485013,141.505064,1.00752E-15
LBN,8597.098772,8590.333813,436.2676939,37.03439047,1.2771E-15
LBR,6157.016929,11091.16197,300.9365992,24.75593366,8.23877E-17
LBY,18403.23843,33003.44487,899.2325478,74.15144088,8.83101E-15
LKA,14117.79049,15087.33128,676.3924012,61.62178546,0
LSO,9914.499828,17629.03383,484.3890755,40.14601417,4.37617E-16
LTU,2866.678353,3274.10327,142.790184,11.90268843,0
LUX,5766.31111,6322.837147,290.2756207,24.53881482,2.48558E-14
LVA,2866.678353,3274.10327,142.790184,11.90268843,5.57552E-16
MAR,18403.23843,33003.44487,899.2325478,74.15144088,2.33468E-14
MCO,5766.31111,6322.837147,290.2756207,24.53881482,4.15802E-14
MDA,5766.31111,6322.837147,290.2756207,24.53881482,1.98304E-15
MDG,18403.23843,33003.44487,899.2325478,74.15144088,1.25665E-15
MDV,14117.79049,15087.33128,676.3924012,61.62178546,4.94078E-14
MEX,20227.91497,24527.5843,1001.642375,88.78916962,1.35439E-16
MKD,5766.31111,6322.837147,290.2756207,24.53881482,3.42594E-15
MLI,6157.016929,11091.16197,300.9365992,24.75593366,1.03208E-15
MLT,5766.31111,6322.837147,290.2756207,24.53881482,1.62555E-15
MMR,32152.00794,31852.57793,1617.485013,141.505064,3.02481E-14
MNE,5766.31111,6322.837147,290.2756207,24.53881482,1.37049E-14
MNG,14117.79049,15087.33128,676.3924012,61.62178546,7.0259E-16
MOZ,18403.23843,33003.44487,899.2325478,74.15144088,1.48716E-14
MRT,6157.016929,11091.16197,300.9365992,24.75593366,1.48067E-14
MUS,18403.23843,33003.44487,899.2325478,74.15144088,7.74242E-16
MWI,18403.23843,33003.44487,899.2325478,74.15144088,2.65924E-15
MYS,32152.00794,31852.57793,1617.485013,141.505064,1.28097E-15
NAM,9914.499828,17629.03383,484.3890755,40.14601417,1.30762E-17
NER,6157.016929,11091.16197,300.9365992,24.75593366,5.5388E-16
NGA,6157.016929,11091.16197,300.9365992,24.75593366,5.91456E-15
NIC,20227.91497,24527.5843,1001.642375,88.78916962,3.68948E-15
NLD,5766.31111,6322.837147,290.2756207,24.53881482,6.12692E-16
NOR,2866.678353,3274.10327,142.790184,11.90268843,1.50654E-15
NPL,14117.79049,15087.33128,676.3924012,61.62178546,5.88433E-15
NZL,2501.492511,1539.608412,142.4944758,12.77038446,3.49311E-15
OMN,8597.098772,8590.333813,436.2676939,37.03439047,9.08262E-18
PAK,14117.79049,15087.33128,676.3924012,61.62178546,1.01101E-14
PAN,20227.91497,24527.5843,1001.642375,88.78916962,1.11704E-14
PER,47220.67066,50740.91104,2365.825063,226.903574,0
PHL,32152.00794,31852.57793,1617.485013,141.505064,0
PNG,3186.371211,2374.090932,173.0181115,20.18889117,2.31607E-14
POL,5766.31111,6322.837147,290.2756207,24.53881482,0
PRK,14117.79049,15087.33128,676.3924012,61.62178546,3.45895E-14
PRT,5766.31111,6322.837147,290.2756207,24.53881482,0
PRY,47220.67066,50740.91104,2365.825063,226.903574,0
QAT,8597.098772,8590.333813,436.2676939,37.03439047,0
ROU,5766.31111,6322.837147,290.2756207,24.53881482,0
RUS,5766.31111,6322.837147,290.2756207,24.53881482,0
RWA,18403.23843,33003.44487,899.2325478,74.15144088,0
SAU,8597.098772,8590.333813,436.2676939,37.03439047,0
SDN,,,,,0
SEN,6157.016929,11091.16197,300.9365992,24.75593366,0
SGP,32152.00794,31852.57793,1617.485013,141.505064,0
SLE,6157.016929,11091.16197,300.9365992,24.75593366,0
SLV,20227.91497,24527.5843,1001.642375,88.78916962,1.48218E-15
SMR,5766.31111,6322.837147,290.2756207,24.53881482,0
SOM,18403.23843,33003.44487,899.2325478,74.15144088,0
SRB,5766.31111,6322.837147,290.2756207,24.53881482,0
SSD,,,,,0
STP,6157.016929,11091.16197,300.9365992,24.75593366,0
SUR,47220.67066,50740.91104,2365.825063,226.903574,0
SVK,5766.31111,6322.837147,290.2756207,24.53881482,0
SVN,5766.31111,6322.837147,290.2756207,24.53881482,0
SWE,2866.678353,3274.10327,142.790184,11.90268843,0
SWZ,9914.499828,17629.03383,484.3890755,40.14601417,7.57079E-15
SYC,18403.23843,33003.44487,899.2325478,74.15144088,0
SYR,8597.098772,8590.333813,436.2676939,37.03439047,0
TCD,6157.016929,11091.16197,300.9365992,24.75593366,3.13921E-15
TGO,6157.016929,11091.16197,300.9365992,24.75593366,0
THA,32152.00794,31852.57793,1617.485013,141.505064,0
TJK,8597.098772,8590.333813,436.2676939,37.03439047,0
TKM,8597.098772,8590.333813,436.2676939,37.03439047,0
TTO,20227.91497,24527.5843,1001.642375,88.78916962,0
TUN,18403.23843,33003.44487,899.2325478,74.15144088,0
TUR,8597.098772,8590.333813,436.2676939,37.03439047,0
TZA,18403.23843,33003.44487,899.2325478,74.15144088,0
UGA,18403.23843,33003.44487,899.2325478,74.15144088,0
UKR,5766.31111,6322.837147,290.2756207,24.53881482,0
URY,47220.67066,50740.91104,2365.825063,226.903574,0
USA,7148.357383,8864.342775,354.2392518,29.89116104,0
UZB,8597.098772,8590.333813,436.2676939,37.03439047,0
VEN,47220.67066,50740.91104,2365.825063,226.903574,0
VNM,32152.00794,31852.57793,1617.485013,141.505064,0
VUT,3186.371211,2374.090932,173.0181115,20.18889117,0
WSM,2501.492511,1539.608412,142.4944758,12.77038446,0
YEM,8597.098772,8590.333813,436.2676939,37.03439047,0
ZAF,9914.499828,17629.03383,484.3890755,40.14601417,0
ZMB,18403.23843,33003.44487,899.2325478,74.15144088,0
ZWE,18403.23843,33003.44487,899.2325478,74.15144088,0
