ISO,Fungicides and Bactericides Human Toxicity freshwater,Insecticides Human Toxicity freshwater,Herbicides Human Toxicity freshwater,Rodenticides Human Toxicity freshwater,,,,,,,,,,,,,,,,,,,,,,
AFG,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
AGO,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
ALB,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
AND,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
ARE,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
ARG,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
ARM,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
ATG,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
AUS,1.32971E-07,3.30775E-05,8.82616E-05,,,,,,,,,,,,,,,,,,,,,,,
AUT,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
AZE,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
BDI,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
BEL,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
BEN,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
BFA,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
BGD,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
BGR,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
BHR,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
BHS,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
BIH,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
BLR,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
BLZ,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
BOL,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
BRA,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
BRB,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
BRN,3.73804E-07,9.62054E-05,0.000219623,,,,,,,,,,,,,,,,,,,,,,,
BTN,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
BWA,6.54973E-08,1.74401E-05,5.96942E-05,,,,,,,,,,,,,,,,,,,,,,,
CAF,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
CAN,5.43544E-08,1.38706E-05,5.30225E-05,,,,,,,,,,,,,,,,,,,,,,,
CHE,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
CHL,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
CHN,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
CIV,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
CMR,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
COD,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
COG,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
COL,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
CPV,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
CRI,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
CUB,5.43544E-08,1.38706E-05,5.30225E-05,,,,,,,,,,,,,,,,,,,,,,,
CYP,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
CZE,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
DEU,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
DJI,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
DNK,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
DOM,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
DZA,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
ECU,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
EGY,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
ERI,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
ESP,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
EST,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
ETH,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
FIN,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
FJI,2.90166E-08,6.8402E-06,3.79885E-05,,,,,,,,,,,,,,,,,,,,,,,
FRA,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
GAB,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
GBR,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
GEO,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
GHA,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
GIN,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
GMB,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
GRC,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
GTM,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
GUY,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
HND,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
HRV,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
HTI,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
HUN,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
IDN,3.73804E-07,9.62054E-05,0.000219623,,,,,,,,,,,,,,,,,,,,,,,
IND,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
IRL,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
IRN,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
IRQ,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
ISL,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
ISR,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
ITA,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
JAM,5.43544E-08,1.38706E-05,5.30225E-05,,,,,,,,,,,,,,,,,,,,,,,
JOR,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
JPN,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
KAZ,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
KEN,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
KGZ,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
KHM,3.73804E-07,9.62054E-05,0.000219623,,,,,,,,,,,,,,,,,,,,,,,
KOR,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
KWT,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
LAO,3.73804E-07,9.62054E-05,0.000219623,,,,,,,,,,,,,,,,,,,,,,,
LBN,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
LBR,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
LBY,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
LKA,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
LSO,6.54973E-08,1.74401E-05,5.96942E-05,,,,,,,,,,,,,,,,,,,,,,,
LTU,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
LUX,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
LVA,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
MAR,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
MCO,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
MDA,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
MDG,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
MDV,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
MEX,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
MKD,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
MLI,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
MLT,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
MMR,3.73804E-07,9.62054E-05,0.000219623,,,,,,,,,,,,,,,,,,,,,,,
MNE,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
MNG,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
MOZ,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
MRT,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
MUS,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
MWI,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
MYS,3.73804E-07,9.62054E-05,0.000219623,,,,,,,,,,,,,,,,,,,,,,,
NAM,6.54973E-08,1.74401E-05,5.96942E-05,,,,,,,,,,,,,,,,,,,,,,,
NER,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
NGA,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
NIC,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
NLD,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
NOR,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
NPL,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
NZL,1.32971E-07,3.30775E-05,8.82616E-05,,,,,,,,,,,,,,,,,,,,,,,
OMN,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
PAK,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
PAN,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
PER,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
PHL,3.73804E-07,9.62054E-05,0.000219623,,,,,,,,,,,,,,,,,,,,,,,
PNG,2.90166E-08,6.8402E-06,3.79885E-05,,,,,,,,,,,,,,,,,,,,,,,
POL,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
PRK,2.70466E-07,6.61481E-05,0.0001549,,,,,,,,,,,,,,,,,,,,,,,
PRT,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
PRY,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
QAT,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
ROU,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
RUS,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
RWA,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
SAU,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
SDN,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
SGP,3.73804E-07,9.62054E-05,0.000219623,,,,,,,,,,,,,,,,,,,,,,,
SLE,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
SLV,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
SMR,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
SOM,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
SRB,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
SSD,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
SUR,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
SVK,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
SVN,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
SWE,1.42525E-09,3.28078E-07,2.65416E-05,,,,,,,,,,,,,,,,,,,,,,,
SWZ,6.54973E-08,1.74401E-05,5.96942E-05,,,,,,,,,,,,,,,,,,,,,,,
SYC,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
SYR,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
TCD,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
TGO,5.54909E-08,1.5456E-05,5.75918E-05,,,,,,,,,,,,,,,,,,,,,,,
THA,3.73804E-07,9.62054E-05,0.000219623,,,,,,,,,,,,,,,,,,,,,,,
TJK,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
TKM,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
TTO,2.01721E-07,4.66958E-05,0.000115485,,,,,,,,,,,,,,,,,,,,,,,
TUN,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
TUR,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
TZA,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
UGA,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
UKR,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
URY,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
USA,5.43544E-08,1.38706E-05,5.30225E-05,,,,,,,,,,,,,,,,,,,,,,,
UZB,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
VEN,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
VNM,3.73804E-07,9.62054E-05,0.000219623,,,,,,,,,,,,,,,,,,,,,,,
VUT,2.90166E-08,6.8402E-06,3.79885E-05,,,,,,,,,,,,,,,,,,,,,,,
WSM,1.32971E-07,3.30775E-05,8.82616E-05,,,,,,,,,,,,,,,,,,,,,,,
YEM,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
ZAF,6.54973E-08,1.74401E-05,5.96942E-05,,,,,,,,,,,,,,,,,,,,,,,
ZMB,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
ZWE,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
