ISO,Pentachlorophenol (PCP) Eco Toxicity Sea water,Lead and its compounds Eco Toxicity Sea water,Nickel and its compounds Eco Toxicity Sea water,Anthracene Eco Toxicity Sea water,Fluoranthene Eco Toxicity Sea water,Diuron Eco Toxicity Sea water,Cadmium and its compounds Eco Toxicity Sea water,Mercury and its compounds Eco Toxicity Sea water,Atrazine Eco Toxicity Sea water,Dichloromethane_methylenechloride (CH2Cl2) Eco Toxicity Sea water,"1,2-dichloroethane Eco Toxicity Sea water",Hexachlorobutadiene Eco Toxicity Sea water,"Tris (2,3-dibromopropyl) phosphate Eco Toxicity Sea water",Benzene Eco Toxicity Sea water,Naphthalene Eco Toxicity Sea water,Isoproturon Eco Toxicity Sea water,Trichlorobenzenes Eco Toxicity Sea water,Hexachlorocyclohexane Eco Toxicity Sea water,Pentachlorobenzene Eco Toxicity Sea water,Alachlor Eco Toxicity Sea water,Simazine Eco Toxicity Sea water,Brominated diphenylethers (PBDE) Eco Toxicity Sea water,Hexachlorobenzene Eco Toxicity Sea water,Trifluralin Eco Toxicity Sea water,Heptachlor Eco Toxicity Sea water,Tributyltin Compounds Eco Toxicity Sea water,Endosulfan Eco Toxicity Sea water,Chloropyrifos Eco Toxicity Sea water,n-nonylphenol (mixed isomers) Eco Toxicity Sea water,TrI-2-Chloroethyl phosphate Eco Toxicity Sea water
FJI,54711.63371,408988.5578,447070.3729,796016.9081,405240.2617,6416.639687,10496752.32,724107.3543,15045.99829,16.00273659,16.7462685,51845.84488,6328.039028,48.74321402,34.70094514,12447.22047,1545.010789,177200.8708,166144.0434,13134.36974,13391.23565,0,577518.8264,365919.7895,495975.9374,41.68809747,1886448.137,6155669.58,17315.5897,#N/A
FRA,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
GAB,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
GBR,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
GEO,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
GHA,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
GIN,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
GMB,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
GRC,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
GTM,54570.3144,407242.4027,450708.4394,788060.6976,404196.7968,6115.254282,10601027.12,705907.0364,14634.10797,15.48480367,16.12382697,52072.03174,6142.780333,46.03324213,26.75890373,11862.54895,1489.47191,175614.5192,166178.2477,12774.79623,13024.65772,0,573471.7112,362764.5384,492308.7187,35.46055972,1859411.619,6137312.566,16492.17818,101.7564972
GUY,54570.3144,407242.4027,450708.4394,788060.6976,404196.7968,6115.254282,10601027.12,705907.0364,14634.10797,15.48480367,16.12382697,52072.03174,6142.780333,46.03324213,26.75890373,11862.54895,1489.47191,175614.5192,166178.2477,12774.79623,13024.65772,0,573471.7112,362764.5384,492308.7187,35.46055972,1859411.619,6137312.566,16492.17818,101.7564972
HND,54570.3144,407242.4027,450708.4394,788060.6976,404196.7968,6115.254282,10601027.12,705907.0364,14634.10797,15.48480367,16.12382697,52072.03174,6142.780333,46.03324213,26.75890373,11862.54895,1489.47191,175614.5192,166178.2477,12774.79623,13024.65772,0,573471.7112,362764.5384,492308.7187,35.46055972,1859411.619,6137312.566,16492.17818,101.7564972
HRV,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
HTI,54570.3144,407242.4027,450708.4394,788060.6976,404196.7968,6115.254282,10601027.12,705907.0364,14634.10797,15.48480367,16.12382697,52072.03174,6142.780333,46.03324213,26.75890373,11862.54895,1489.47191,175614.5192,166178.2477,12774.79623,13024.65772,0,573471.7112,362764.5384,492308.7187,35.46055972,1859411.619,6137312.566,16492.17818,101.7564972
HUN,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
IDN,54711.63371,408988.5578,447070.3729,796016.9081,405240.2617,6416.639687,10496752.32,724107.3543,15045.99829,16.00273659,16.7462685,51845.84488,6328.039028,48.74321402,34.70094514,12447.22047,1545.010789,177200.8708,166144.0434,13134.36974,13391.23565,0,577518.8264,365919.7895,495975.9374,41.68809747,1886448.137,6155669.58,17315.5897,#N/A
IND,18822.78292,74721.61955,408192.2633,41.01116705,193148.4923,34573.79094,5829687.685,384982.4926,8298.830544,5.084425818,466.3862717,2433.370057,42.33058088,3173600.258,331.9992339,11756.20134,265.8627868,164552.969,2965.699372,32567.67434,3830.215813,0,5658.660045,5.576772991,21772.81646,52441.32846,340372.3369,31586.83571,11655.89547,5030.289446
IRL,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
IRN,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
IRQ,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
ISL,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
ISR,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
ITA,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
JAM,54570.3144,407242.4027,450708.4394,788060.6976,404196.7968,6115.254282,10601027.12,705907.0364,14634.10797,15.48480367,16.12382697,52072.03174,6142.780333,46.03324213,26.75890373,11862.54895,1489.47191,175614.5192,166178.2477,12774.79623,13024.65772,0,573471.7112,362764.5384,492308.7187,35.46055972,1859411.619,6137312.566,16492.17818,101.7564972
JOR,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
JPN,54711.63371,408988.5578,447070.3729,796016.9081,405240.2617,6416.639687,10496752.32,724107.3543,15045.99829,16.00273659,16.7462685,51845.84488,6328.039028,48.74321402,34.70094514,12447.22047,1545.010789,177200.8708,166144.0434,13134.36974,13391.23565,0,577518.8264,365919.7895,495975.9374,41.68809747,1886448.137,6155669.58,17315.5897,#N/A
KAZ,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
KEN,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
KGZ,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
KHM,54711.63371,408988.5578,447070.3729,796016.9081,405240.2617,6416.639687,10496752.32,724107.3543,15045.99829,16.00273659,16.7462685,51845.84488,6328.039028,48.74321402,34.70094514,12447.22047,1545.010789,177200.8708,166144.0434,13134.36974,13391.23565,0,577518.8264,365919.7895,495975.9374,41.68809747,1886448.137,6155669.58,17315.5897,#N/A
KOR,54711.63371,408988.5578,447070.3729,796016.9081,405240.2617,6416.639687,10496752.32,724107.3543,15045.99829,16.00273659,16.7462685,51845.84488,6328.039028,48.74321402,34.70094514,12447.22047,1545.010789,177200.8708,166144.0434,13134.36974,13391.23565,0,577518.8264,365919.7895,495975.9374,41.68809747,1886448.137,6155669.58,17315.5897,#N/A
KWT,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
LAO,54711.63371,408988.5578,447070.3729,796016.9081,405240.2617,6416.639687,10496752.32,724107.3543,15045.99829,16.00273659,16.7462685,51845.84488,6328.039028,48.74321402,34.70094514,12447.22047,1545.010789,177200.8708,166144.0434,13134.36974,13391.23565,0,577518.8264,365919.7895,495975.9374,41.68809747,1886448.137,6155669.58,17315.5897,#N/A
LBN,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
LBR,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
LBY,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
LKA,18822.78292,74721.61955,408192.2633,41.01116705,193148.4923,34573.79094,5829687.685,384982.4926,8298.830544,5.084425818,466.3862717,2433.370057,42.33058088,3173600.258,331.9992339,11756.20134,265.8627868,164552.969,2965.699372,32567.67434,3830.215813,0,5658.660045,5.576772991,21772.81646,52441.32846,340372.3369,31586.83571,11655.89547,5030.289446
LSO,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
LTU,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
LUX,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
LVA,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
MAR,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
MCO,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
MDA,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
MDG,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
MDV,18822.78292,74721.61955,408192.2633,41.01116705,193148.4923,34573.79094,5829687.685,384982.4926,8298.830544,5.084425818,466.3862717,2433.370057,42.33058088,3173600.258,331.9992339,11756.20134,265.8627868,164552.969,2965.699372,32567.67434,3830.215813,0,5658.660045,5.576772991,21772.81646,52441.32846,340372.3369,31586.83571,11655.89547,5030.289446
MEX,54570.3144,407242.4027,450708.4394,788060.6976,404196.7968,6115.254282,10601027.12,705907.0364,14634.10797,15.48480367,16.12382697,52072.03174,6142.780333,46.03324213,26.75890373,11862.54895,1489.47191,175614.5192,166178.2477,12774.79623,13024.65772,0,573471.7112,362764.5384,492308.7187,35.46055972,1859411.619,6137312.566,16492.17818,101.7564972
MKD,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
MLI,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
MLT,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
MMR,54711.63371,408988.5578,447070.3729,796016.9081,405240.2617,6416.639687,10496752.32,724107.3543,15045.99829,16.00273659,16.7462685,51845.84488,6328.039028,48.74321402,34.70094514,12447.22047,1545.010789,177200.8708,166144.0434,13134.36974,13391.23565,0,577518.8264,365919.7895,495975.9374,41.68809747,1886448.137,6155669.58,17315.5897,#N/A
MNE,54252.34608,412641.013,452357.8764,782495.0118,402556.2688,6015.17153,10625613.95,726998.1056,14451.97513,15.36900908,16.12295408,51639.63523,6068.322387,45.46273949,25.31778008,11668.41138,1484.840162,176450.3887,166511.1535,12615.77993,12862.55729,0,572862.6446,360587.141,488557.1588,34.17450598,1859370.121,6100735.14,16222.79357,100.4937758
MNG,54711.63371,408988.5578,447070.3729,796016.9081,405240.2617,6416.639687,10496752.32,724107.3543,15045.99829,16.00273659,16.7462685,51845.84488,6328.039028,48.74321402,34.70094514,12447.22047,1545.010789,177200.8708,166144.0434,13134.36974,13391.23565,0,577518.8264,365919.7895,495975.9374,41.68809747,1886448.137,6155669.58,17315.5897,#N/A
MOZ,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
MRT,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
MUS,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
MWI,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
MYS,54711.63371,408988.5578,447070.3729,796016.9081,405240.2617,6416.639687,10496752.32,724107.3543,15045.99829,16.00273659,16.7462685,51845.84488,6328.039028,48.74321402,34.70094514,12447.22047,1545.010789,177200.8708,166144.0434,13134.36974,13391.23565,0,577518.8264,365919.7895,495975.9374,41.68809747,1886448.137,6155669.58,17315.5897,#N/A
NAM,54440.62888,407242.6433,448655.7281,786554.3741,402314.6065,6239.021524,10546113.47,711412.2293,14771.65658,15.56410253,15.98945208,52292.1751,6198.279101,46.70619011,30.81871319,12102.6574,1478.247798,174556.1972,164855.5555,12894.82471,13147.08573,0,565779.3382,361529.0749,491708.8432,38.56245764,1838880.601,6122586.374,16826.26884,102.6372002
