ISO,Pentachlorophenol (PCP) Human Toxicity Sea water,Anthracene Human Toxicity Sea water,Fluoranthene Human Toxicity Sea water,Diuron Human Toxicity Sea water,Atrazine Human Toxicity Sea water,Dichloromethane_methylenechloride (CH2Cl2) Human Toxicity Sea water,"1,2-dichloroethane Human Toxicity Sea water",Hexachlorobutadiene Human Toxicity Sea water,"Tris (2,3-dibromopropyl) phosphate Human Toxicity Sea water",Benzene Human Toxicity Sea water,Naphthalene Human Toxicity Sea water,Isoproturon Human Toxicity Sea water,Trichlorobenzenes Human Toxicity Sea water,Hexachlorocyclohexane Human Toxicity Sea water,Pentachlorobenzene Human Toxicity Sea water,Alachlor Human Toxicity Sea water,Simazine Human Toxicity Sea water,Brominated diphenylethers (PBDE) Human Toxicity Sea water,Hexachlorobenzene Human Toxicity Sea water,Trifluralin Human Toxicity Sea water,Heptachlor Human Toxicity Sea water,Tributyltin Compounds Human Toxicity Sea water,Endosulfan Human Toxicity Sea water,Chloropyrifos Human Toxicity Sea water,n-nonylphenol (mixed isomers) Human Toxicity Sea water,TRI-2-Chloroethyl phosphate Human Toxicity Sea water
NER,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
NGA,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
NIC,4.59E-06,2.47E-04,7.16E-05,1.94E-08,3.81E-08,2.40E-07,2.88E-07,2.65E-05,1.03E-06,1.08E-07,5.37E-08,,,1.96E-05,4.77E-05,,2.53E-08,2.12E-09,1.36E-03,9.15E-06,2.50E-03,4.03E-09,5.95E-06,2.81E-05,,3.69E-09
NLD,2.50E-06,1.60E-04,4.53E-05,1.05E-08,2.06E-08,2.63E-07,3.33E-07,1.80E-05,4.36E-06,1.67E-07,4.16E-08,,,2.37E-05,4.13E-05,,1.38E-08,1.16E-09,9.61E-04,6.01E-06,1.41E-03,3.89E-09,4.37E-06,1.55E-05,,5.26E-09
NOR,2.50E-06,1.60E-04,4.53E-05,1.05E-08,2.06E-08,2.63E-07,3.33E-07,1.80E-05,4.36E-06,1.67E-07,4.16E-08,,,2.37E-05,4.13E-05,,1.38E-08,1.16E-09,9.61E-04,6.01E-06,1.41E-03,3.89E-09,4.37E-06,1.55E-05,,5.26E-09
NPL,4.76E-06,2.85E-04,8.09E-05,2.01E-08,3.95E-08,4.01E-07,6.00E-07,2.82E-05,5.02E-06,3.70E-07,8.15E-08,,,3.52E-05,6.04E-05,,2.64E-08,2.22E-09,1.56E-03,1.06E-05,2.65E-03,5.91E-09,7.66E-06,2.93E-05,,9.13E-09
NZL,4.84E-06,2.57E-04,7.48E-05,2.05E-08,4.01E-08,2.14E-07,2.40E-07,2.73E-05,5.55E-07,7.17E-08,5.26E-08,,,1.72E-05,4.74E-05,,2.67E-08,2.25E-09,1.39E-03,9.52E-06,2.63E-03,4.03E-09,6.10E-06,2.96E-05,,1.05E-08
OMN,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
PAK,4.76E-06,2.85E-04,8.09E-05,2.01E-08,3.95E-08,4.01E-07,6.00E-07,2.82E-05,5.02E-06,3.70E-07,8.15E-08,,,3.52E-05,6.04E-05,,2.64E-08,2.22E-09,1.56E-03,1.06E-05,2.65E-03,5.91E-09,7.66E-06,2.93E-05,,9.13E-09
PAN,4.59E-06,2.47E-04,7.16E-05,1.94E-08,3.81E-08,2.40E-07,2.88E-07,2.65E-05,1.03E-06,1.08E-07,5.37E-08,,,1.96E-05,4.77E-05,,2.53E-08,2.12E-09,1.36E-03,9.15E-06,2.50E-03,4.03E-09,5.95E-06,2.81E-05,,3.69E-09
PER,4.59E-06,2.47E-04,7.16E-05,1.94E-08,3.81E-08,2.40E-07,2.88E-07,2.65E-05,1.03E-06,1.08E-07,5.37E-08,,,1.96E-05,4.77E-05,,2.53E-08,2.12E-09,1.36E-03,9.15E-06,2.50E-03,4.03E-09,5.95E-06,2.81E-05,,3.69E-09
PHL,4.84E-06,2.57E-04,7.48E-05,2.05E-08,4.01E-08,2.14E-07,2.40E-07,2.73E-05,5.55E-07,7.17E-08,5.26E-08,,,1.72E-05,4.74E-05,,2.67E-08,2.25E-09,1.39E-03,9.52E-06,2.63E-03,4.03E-09,6.10E-06,2.96E-05,,1.05E-08
PNG,4.84E-06,2.57E-04,7.48E-05,2.05E-08,4.01E-08,2.14E-07,2.40E-07,2.73E-05,5.55E-07,7.17E-08,5.26E-08,,,1.72E-05,4.74E-05,,2.67E-08,2.25E-09,1.39E-03,9.52E-06,2.63E-03,4.03E-09,6.10E-06,2.96E-05,,1.05E-08
POL,2.50E-06,1.60E-04,4.53E-05,1.05E-08,2.06E-08,2.63E-07,3.33E-07,1.80E-05,4.36E-06,1.67E-07,4.16E-08,,,2.37E-05,4.13E-05,,1.38E-08,1.16E-09,9.61E-04,6.01E-06,1.41E-03,3.89E-09,4.37E-06,1.55E-05,,5.26E-09
PRK,4.84E-06,2.57E-04,7.48E-05,2.05E-08,4.01E-08,2.14E-07,2.40E-07,2.73E-05,5.55E-07,7.17E-08,5.26E-08,,,1.72E-05,4.74E-05,,2.67E-08,2.25E-09,1.39E-03,9.52E-06,2.63E-03,4.03E-09,6.10E-06,2.96E-05,,1.05E-08
PRT,2.50E-06,1.60E-04,4.53E-05,1.05E-08,2.06E-08,2.63E-07,3.33E-07,1.80E-05,4.36E-06,1.67E-07,4.16E-08,,,2.37E-05,4.13E-05,,1.38E-08,1.16E-09,9.61E-04,6.01E-06,1.41E-03,3.89E-09,4.37E-06,1.55E-05,,5.26E-09
PRY,4.59E-06,2.47E-04,7.16E-05,1.94E-08,3.81E-08,2.40E-07,2.88E-07,2.65E-05,1.03E-06,1.08E-07,5.37E-08,,,1.96E-05,4.77E-05,,2.53E-08,2.12E-09,1.36E-03,9.15E-06,2.50E-03,4.03E-09,5.95E-06,2.81E-05,,3.69E-09
QAT,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
ROU,2.50E-06,1.60E-04,4.53E-05,1.05E-08,2.06E-08,2.63E-07,3.33E-07,1.80E-05,4.36E-06,1.67E-07,4.16E-08,,,2.37E-05,4.13E-05,,1.38E-08,1.16E-09,9.61E-04,6.01E-06,1.41E-03,3.89E-09,4.37E-06,1.55E-05,,5.26E-09
RUS,2.50E-06,1.60E-04,4.53E-05,1.05E-08,2.06E-08,2.63E-07,3.33E-07,1.80E-05,4.36E-06,1.67E-07,4.16E-08,,,2.37E-05,4.13E-05,,1.38E-08,1.16E-09,9.61E-04,6.01E-06,1.41E-03,3.89E-09,4.37E-06,1.55E-05,,5.26E-09
RWA,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
SAU,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
SDN,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
SEN,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
SGP,4.84E-06,2.57E-04,7.48E-05,2.05E-08,4.01E-08,2.14E-07,2.40E-07,2.73E-05,5.55E-07,7.17E-08,5.26E-08,,,1.72E-05,4.74E-05,,2.67E-08,2.25E-09,1.39E-03,9.52E-06,2.63E-03,4.03E-09,6.10E-06,2.96E-05,,1.05E-08
SLE,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
SLV,4.59E-06,2.47E-04,7.16E-05,1.94E-08,3.81E-08,2.40E-07,2.88E-07,2.65E-05,1.03E-06,1.08E-07,5.37E-08,,,1.96E-05,4.77E-05,,2.53E-08,2.12E-09,1.36E-03,9.15E-06,2.50E-03,4.03E-09,5.95E-06,2.81E-05,,3.69E-09
SMR,2.50E-06,1.60E-04,4.53E-05,1.05E-08,2.06E-08,2.63E-07,3.33E-07,1.80E-05,4.36E-06,1.67E-07,4.16E-08,,,2.37E-05,4.13E-05,,1.38E-08,1.16E-09,9.61E-04,6.01E-06,1.41E-03,3.89E-09,4.37E-06,1.55E-05,,5.26E-09
SOM,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
SRB,2.50E-06,1.60E-04,4.53E-05,1.05E-08,2.06E-08,2.63E-07,3.33E-07,1.80E-05,4.36E-06,1.67E-07,4.16E-08,,,2.37E-05,4.13E-05,,1.38E-08,1.16E-09,9.61E-04,6.01E-06,1.41E-03,3.89E-09,4.37E-06,1.55E-05,,5.26E-09
SSD,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
STP,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
SUR,4.59E-06,2.47E-04,7.16E-05,1.94E-08,3.81E-08,2.40E-07,2.88E-07,2.65E-05,1.03E-06,1.08E-07,5.37E-08,,,1.96E-05,4.77E-05,,2.53E-08,2.12E-09,1.36E-03,9.15E-06,2.50E-03,4.03E-09,5.95E-06,2.81E-05,,3.69E-09
SVK,2.50E-06,1.60E-04,4.53E-05,1.05E-08,2.06E-08,2.63E-07,3.33E-07,1.80E-05,4.36E-06,1.67E-07,4.16E-08,,,2.37E-05,4.13E-05,,1.38E-08,1.16E-09,9.61E-04,6.01E-06,1.41E-03,3.89E-09,4.37E-06,1.55E-05,,5.26E-09
SVN,2.50E-06,1.60E-04,4.53E-05,1.05E-08,2.06E-08,2.63E-07,3.33E-07,1.80E-05,4.36E-06,1.67E-07,4.16E-08,,,2.37E-05,4.13E-05,,1.38E-08,1.16E-09,9.61E-04,6.01E-06,1.41E-03,3.89E-09,4.37E-06,1.55E-05,,5.26E-09
SWE,2.50E-06,1.60E-04,4.53E-05,1.05E-08,2.06E-08,2.63E-07,3.33E-07,1.80E-05,4.36E-06,1.67E-07,4.16E-08,,,2.37E-05,4.13E-05,,1.38E-08,1.16E-09,9.61E-04,6.01E-06,1.41E-03,3.89E-09,4.37E-06,1.55E-05,,5.26E-09
SWZ,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
SYC,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
SYR,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
TCD,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
TGO,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
THA,4.84E-06,2.57E-04,7.48E-05,2.05E-08,4.01E-08,2.14E-07,2.40E-07,2.73E-05,5.55E-07,7.17E-08,5.26E-08,,,1.72E-05,4.74E-05,,2.67E-08,2.25E-09,1.39E-03,9.52E-06,2.63E-03,4.03E-09,6.10E-06,2.96E-05,,1.05E-08
TJK,2.50E-06,1.60E-04,4.53E-05,1.05E-08,2.06E-08,2.63E-07,3.33E-07,1.80E-05,4.36E-06,1.67E-07,4.16E-08,,,2.37E-05,4.13E-05,,1.38E-08,1.16E-09,9.61E-04,6.01E-06,1.41E-03,3.89E-09,4.37E-06,1.55E-05,,5.26E-09
TKM,2.50E-06,1.60E-04,4.53E-05,1.05E-08,2.06E-08,2.63E-07,3.33E-07,1.80E-05,4.36E-06,1.67E-07,4.16E-08,,,2.37E-05,4.13E-05,,1.38E-08,1.16E-09,9.61E-04,6.01E-06,1.41E-03,3.89E-09,4.37E-06,1.55E-05,,5.26E-09
TTO,4.59E-06,2.47E-04,7.16E-05,1.94E-08,3.81E-08,2.40E-07,2.88E-07,2.65E-05,1.03E-06,1.08E-07,5.37E-08,,,1.96E-05,4.77E-05,,2.53E-08,2.12E-09,1.36E-03,9.15E-06,2.50E-03,4.03E-09,5.95E-06,2.81E-05,,3.69E-09
TUN,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
TUR,2.50E-06,1.60E-04,4.53E-05,1.05E-08,2.06E-08,2.63E-07,3.33E-07,1.80E-05,4.36E-06,1.67E-07,4.16E-08,,,2.37E-05,4.13E-05,,1.38E-08,1.16E-09,9.61E-04,6.01E-06,1.41E-03,3.89E-09,4.37E-06,1.55E-05,,5.26E-09
TZA,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
UGA,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
UKR,2.50E-06,1.60E-04,4.53E-05,1.05E-08,2.06E-08,2.63E-07,3.33E-07,1.80E-05,4.36E-06,1.67E-07,4.16E-08,,,2.37E-05,4.13E-05,,1.38E-08,1.16E-09,9.61E-04,6.01E-06,1.41E-03,3.89E-09,4.37E-06,1.55E-05,,5.26E-09
URY,4.59E-06,2.47E-04,7.16E-05,1.94E-08,3.81E-08,2.40E-07,2.88E-07,2.65E-05,1.03E-06,1.08E-07,5.37E-08,,,1.96E-05,4.77E-05,,2.53E-08,2.12E-09,1.36E-03,9.15E-06,2.50E-03,4.03E-09,5.95E-06,2.81E-05,,3.69E-09
USA,1.12E-05,6.11E-04,1.76E-04,4.75E-08,9.30E-08,3.19E-07,4.58E-07,5.42E-05,3.79E-06,2.16E-07,1.38E-07,,,4.72E-05,9.28E-05,,6.20E-08,5.21E-09,3.03E-03,2.26E-05,6.12E-03,1.05E-08,1.48E-05,6.85E-05,,1.05E-08
UZB,2.50E-06,1.60E-04,4.53E-05,1.05E-08,2.06E-08,2.63E-07,3.33E-07,1.80E-05,4.36E-06,1.67E-07,4.16E-08,,,2.37E-05,4.13E-05,,1.38E-08,1.16E-09,9.61E-04,6.01E-06,1.41E-03,3.89E-09,4.37E-06,1.55E-05,,5.26E-09
VEN,4.59E-06,2.47E-04,7.16E-05,1.94E-08,3.81E-08,2.40E-07,2.88E-07,2.65E-05,1.03E-06,1.08E-07,5.37E-08,,,1.96E-05,4.77E-05,,2.53E-08,2.12E-09,1.36E-03,9.15E-06,2.50E-03,4.03E-09,5.95E-06,2.81E-05,,3.69E-09
VNM,4.84E-06,2.57E-04,7.48E-05,2.05E-08,4.01E-08,2.14E-07,2.40E-07,2.73E-05,5.55E-07,7.17E-08,5.26E-08,,,1.72E-05,4.74E-05,,2.67E-08,2.25E-09,1.39E-03,9.52E-06,2.63E-03,4.03E-09,6.10E-06,2.96E-05,,1.05E-08
VUT,4.84E-06,2.57E-04,7.48E-05,2.05E-08,4.01E-08,2.14E-07,2.40E-07,2.73E-05,5.55E-07,7.17E-08,5.26E-08,,,1.72E-05,4.74E-05,,2.67E-08,2.25E-09,1.39E-03,9.52E-06,2.63E-03,4.03E-09,6.10E-06,2.96E-05,,1.05E-08
WSM,4.84E-06,2.57E-04,7.48E-05,2.05E-08,4.01E-08,2.14E-07,2.40E-07,2.73E-05,5.55E-07,7.17E-08,5.26E-08,,,1.72E-05,4.74E-05,,2.67E-08,2.25E-09,1.39E-03,9.52E-06,2.63E-03,4.03E-09,6.10E-06,2.96E-05,,1.05E-08
YEM,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
ZAF,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
ZMB,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
ZWE,3.37E-06,1.80E-04,5.25E-05,1.41E-08,2.77E-08,2.68E-07,3.31E-07,2.17E-05,6.80E-07,1.36E-07,4.12E-08,,,1.59E-05,4.04E-05,,1.85E-08,1.55E-09,1.05E-03,6.68E-06,1.83E-03,2.89E-09,4.38E-06,2.06E-05,,2.63E-09
